distil_fn,lambda,temperature_h,temperature_t,gamma,val_acc,val_loss,max acc,best_iter,val_acc
CE,0.0,1.0,0.5,0.0,79.99080000000001,320.65656147003176,80.288,2,79.99080000000001
CE,0.0,1.0,1.0,0.0,79.93860000000001,322.550727891922,80.22,7,79.93860000000001
CE,0.0,1.0,10.0,0.0,79.9822,321.38732144832613,80.336,8,79.9822
CE,0.0,1.0,20.0,0.0,79.9526,321.0349927008152,80.366,9,79.9526
CE,0.0,1.0,5.0,0.0,80.0104,322.9877665489912,80.544,6,80.0104
KD,0.0,1.0,0.5,0.0,80.15419999999999,319.43522934019563,80.366,2,80.15419999999999
KD,0.0,1.0,1.0,0.0,80.087,321.4988018155098,80.442,6,80.087
KD,0.0,1.0,10.0,0.0,80.1224,322.5825610011816,80.348,0,80.1224
KD,0.0,1.0,20.0,0.0,80.067,321.73045792877673,80.514,8,80.067
KD,0.0,1.0,5.0,0.0,80.00139999999999,322.9178228288889,80.28,3,80.00139999999999
CE,0.2,1.0,0.5,0.0,79.9876,314.8298415452242,80.41,6,79.9876
CE,0.2,1.0,1.0,0.0,79.888,323.8089744836092,80.216,4,79.888
CE,0.2,1.0,10.0,0.0,82.78,431.8808390259743,83.328,3,82.78
CE,0.2,1.0,20.0,0.0,83.32820000000001,394.0150831192732,83.634,9,83.32820000000001
CE,0.2,1.0,5.0,0.0,81.4048,516.6967760413885,81.588,0,81.4048
KD,0.2,1.0,0.5,0.0,79.7242,321.2141345113516,80.12,4,79.7242
KD,0.2,1.0,1.0,0.0,79.9322,316.2293285042048,80.362,8,79.9322
KD,0.2,1.0,10.0,0.0,81.0752,421.88074502646924,81.32,5,81.0752
KD,0.2,1.0,20.0,0.0,81.18620000000001,384.89944140911103,81.552,9,81.18620000000001
KD,0.2,1.0,5.0,0.0,80.46279999999999,450.76509564518926,80.996,1,80.46279999999999
CE,0.4,1.0,0.5,0.0,79.7146,301.2219076126814,79.908,0,79.7146
CE,0.4,1.0,1.0,0.0,80.1534,319.79448611736296,80.716,9,80.1534
CE,0.4,1.0,10.0,0.0,83.02799999999999,435.0950043052435,83.356,1,83.02799999999999
CE,0.4,1.0,20.0,0.0,83.52720000000001,400.9830340981483,83.978,2,83.52720000000001
CE,0.4,1.0,5.0,0.0,81.29499999999999,531.0395024061203,81.998,7,81.29499999999999
KD,0.4,1.0,0.5,0.0,79.6996,315.7905364960432,80.014,3,79.6996
KD,0.4,1.0,1.0,0.0,79.497,316.79723791480063,79.962,1,79.497
KD,0.4,1.0,10.0,0.0,81.69519999999999,433.33213778436186,82.06,8,81.69519999999999
KD,0.4,1.0,20.0,0.0,81.91740000000001,399.88128771185876,82.588,4,81.91740000000001
KD,0.4,1.0,5.0,0.0,80.6066,490.463475933671,81.23,1,80.6066
CE,0.6,1.0,0.5,0.0,79.71000000000001,285.4960530668497,80.03,0,79.71000000000001
CE,0.6,1.0,1.0,0.0,80.1708,319.1486765623093,80.348,7,80.1708
CE,0.6,1.0,10.0,0.0,83.0598,434.35046922564504,83.356,8,83.0598
CE,0.6,1.0,20.0,0.0,83.7324,396.63717690855265,83.936,8,83.7324
CE,0.6,1.0,5.0,0.0,81.6192,523.8669585943222,82.086,3,81.6192
KD,0.6,1.0,0.5,0.0,79.03840000000001,309.3135703295469,79.528,5,79.03840000000001
KD,0.6,1.0,1.0,0.0,79.1088,313.03618262708187,79.736,3,79.1088
KD,0.6,1.0,10.0,0.0,82.07300000000001,441.7257231086493,82.478,3,82.07300000000001
KD,0.6,1.0,20.0,0.0,82.38239999999999,406.96861086785793,82.876,5,82.38239999999999
KD,0.6,1.0,5.0,0.0,80.94019999999999,509.5908426761627,81.288,5,80.94019999999999
