distil_fn,lambda,temperature_h,temperature_t,gamma,val_acc,val_loss,max acc,best_iter,val_acc
CE,0.2,0.5,1.0,1.0,80.3418,320.6176552891731,80.582,1,80.3418
CE,0.2,1.0,1.0,1.0,80.20019999999998,327.1176536858082,80.412,1,80.20019999999998
CE,0.2,10.0,1.0,1.0,80.2626,322.9431856662035,80.554,3,80.2626
CE,0.2,20.0,1.0,1.0,80.35139999999998,322.7649512767792,80.67,3,80.35139999999998
CE,0.2,5.0,1.0,1.0,80.257,325.09219872653483,80.522,8,80.257
KD,0.2,0.5,1.0,1.0,80.285,323.09117057323454,80.74,5,80.285
KD,0.2,1.0,1.0,1.0,80.2492,322.437380695343,80.546,9,80.2492
KD,0.2,10.0,1.0,1.0,80.3654,320.91409682929515,80.634,3,80.3654
KD,0.2,20.0,1.0,1.0,80.3904,318.75576741695403,80.542,5,80.3904
KD,0.2,5.0,1.0,1.0,80.3278,324.58404169082644,80.69,5,80.3278
CE,0.4,0.5,1.0,1.0,80.1456,323.04997215569017,80.37,1,80.1456
CE,0.4,1.0,1.0,1.0,80.3144,322.97184467315674,80.498,2,80.3144
CE,0.4,10.0,1.0,1.0,80.2038,326.88407871872187,80.436,9,80.2038
CE,0.4,20.0,1.0,1.0,80.17939999999999,321.24664168059826,80.582,7,80.17939999999999
CE,0.4,5.0,1.0,1.0,80.17360000000001,325.0954915046692,80.422,1,80.17360000000001
KD,0.4,0.5,1.0,1.0,80.20259999999999,326.5471745193005,80.708,9,80.20259999999999
KD,0.4,1.0,1.0,1.0,80.186,323.85693821907046,80.372,2,80.186
KD,0.4,10.0,1.0,1.0,80.17320000000001,325.15443345010283,80.492,7,80.17320000000001
KD,0.4,20.0,1.0,1.0,80.14460000000001,327.3537008702755,80.514,2,80.14460000000001
KD,0.4,5.0,1.0,1.0,80.24520000000001,324.76335918605326,80.614,2,80.24520000000001
CE,0.6,0.5,1.0,1.0,80.31559999999999,323.2710437864065,80.77,1,80.31559999999999
CE,0.6,1.0,1.0,1.0,80.2662,322.5919828295708,80.458,9,80.2662
CE,0.6,10.0,1.0,1.0,80.2124,327.8517930865288,80.75,9,80.2124
CE,0.6,20.0,1.0,1.0,80.2268,325.85963346362115,80.37,4,80.2268
CE,0.6,5.0,1.0,1.0,80.239,325.3641426175833,80.57,3,80.239
KD,0.6,0.5,1.0,1.0,80.21780000000001,322.99755131304266,80.56,9,80.21780000000001
KD,0.6,1.0,1.0,1.0,80.27360000000002,323.31080019772054,80.56,4,80.27360000000002
KD,0.6,10.0,1.0,1.0,80.3068,323.43716022968295,80.56,5,80.3068
KD,0.6,20.0,1.0,1.0,80.3012,324.51440105438235,80.462,2,80.3012
KD,0.6,5.0,1.0,1.0,80.3082,324.21762502491475,80.618,7,80.3082
