distil_fn,lambda,temperature_t,val_loss,max acc,best_iter,val_acc
CE,0,0.5,320.6565615,80.288,2,79.9908
KD,0,0.5,319.4352293,80.366,2,80.1542
CE,0,1,322.5507279,80.22,7,79.9386
KD,0,1,321.4988018,80.442,6,80.087
CE,0,5,322.9877665,80.544,6,80.0104
KD,0,5,322.9178228,80.28,3,80.0014
CE,0,10,321.3873214,80.336,8,79.9822
KD,0,10,322.582561,80.348,0,80.1224
CE,0,20,321.0349927,80.366,9,79.9526
KD,0,20,321.7304579,80.514,8,80.067
CE,0.2,0.5,314.8298415,80.41,6,79.9876
KD,0.2,0.5,321.2141345,80.12,4,79.7242
CE,0.2,1,323.8089745,80.216,4,79.888
KD,0.2,1,316.2293285,80.362,8,79.9322
CE,0.2,5,516.696776,81.588,0,81.4048
KD,0.2,5,450.7650956,80.996,1,80.4628
CE,0.2,10,431.880839,83.328,3,82.78
KD,0.2,10,421.880745,81.32,5,81.0752
CE,0.2,20,394.0150831,83.634,9,83.3282
KD,0.2,20,384.8994414,81.552,9,81.1862
CE,0.4,0.5,301.2219076,79.908,0,79.7146
KD,0.4,0.5,315.7905365,80.014,3,79.6996
CE,0.4,1,319.7944861,80.716,9,80.1534
KD,0.4,1,316.7972379,79.962,1,79.497
CE,0.4,5,531.0395024,81.998,7,81.295
KD,0.4,5,490.4634759,81.23,1,80.6066
CE,0.4,10,435.0950043,83.356,1,83.028
KD,0.4,10,433.3321378,82.06,8,81.6952
CE,0.4,20,400.9830341,83.978,2,83.5272
KD,0.4,20,399.8812877,82.588,4,81.9174
CE,0.6,0.5,285.4960531,80.03,0,79.71
KD,0.6,0.5,309.3135703,79.528,5,79.0384
CE,0.6,1,319.1486766,80.348,7,80.1708
KD,0.6,1,313.0361826,79.736,3,79.1088
CE,0.6,5,523.8669586,82.086,3,81.6192
KD,0.6,5,509.5908427,81.288,5,80.9402
CE,0.6,10,434.3504692,83.356,8,83.0598
KD,0.6,10,441.7257231,82.478,3,82.073
CE,0.6,20,396.6371769,83.936,8,83.7324
KD,0.6,20,406.9686109,82.876,5,82.3824
