distil_fn,lambda,temperature_h,temperature_t,gamma,val_acc,val_loss,max acc,best_iter,val_acc
CE,0.0,1.0,0.5,0.0,80.0066,318.44724814891816,80.302,4,80.0066
CE,0.0,1.0,1.0,0.0,79.95,321.6140974611044,80.272,5,79.95
CE,0.0,1.0,10.0,0.0,79.9702,324.0284697711468,80.42,7,79.9702
CE,0.0,1.0,20.0,0.0,80.1896,318.66033433675767,80.526,6,80.1896
CE,0.0,1.0,5.0,0.0,80.1236,321.3001614779234,80.32,5,80.1236
KD,0.0,1.0,0.5,0.0,80.0664,319.9981527119875,80.466,1,80.0664
KD,0.0,1.0,1.0,0.0,80.0266,320.8827815383673,80.248,7,80.0266
KD,0.0,1.0,10.0,0.0,79.9974,320.240165156126,80.316,7,79.9974
KD,0.0,1.0,20.0,0.0,80.0956,321.030016502738,80.398,4,80.0956
KD,0.0,1.0,5.0,0.0,80.01160000000002,322.35218039005997,80.448,4,80.01160000000002
CE,0.2,1.0,0.5,0.0,80.08879999999999,311.70129809081556,80.43,7,80.08879999999999
CE,0.2,1.0,1.0,0.0,79.99180000000001,322.3386281013489,80.344,9,79.99180000000001
CE,0.2,1.0,10.0,0.0,82.63239999999999,433.1164043277502,82.98,4,82.63239999999999
CE,0.2,1.0,20.0,0.0,83.19840000000002,390.1682045549154,83.464,9,83.19840000000002
CE,0.2,1.0,5.0,0.0,81.36960000000002,511.6145123720169,81.674,7,81.36960000000002
KD,0.2,1.0,0.5,0.0,79.772,318.8070921033621,80.26,6,79.772
KD,0.2,1.0,1.0,0.0,79.89899999999999,320.3531241118908,80.04,8,79.89899999999999
KD,0.2,1.0,10.0,0.0,80.993,417.95259106457235,81.25,3,80.993
KD,0.2,1.0,20.0,0.0,81.1062,384.03169308900834,81.3,8,81.1062
KD,0.2,1.0,5.0,0.0,80.3538,444.6102663829923,80.628,2,80.3538
CE,0.4,1.0,0.5,0.0,79.8672,300.24809070527556,80.274,5,79.8672
CE,0.4,1.0,1.0,0.0,80.08579999999999,320.53008671700957,80.256,8,80.08579999999999
CE,0.4,1.0,10.0,0.0,82.8124,433.7637886673212,83.134,9,82.8124
CE,0.4,1.0,20.0,0.0,83.3588,400.25976765453817,83.698,4,83.3588
CE,0.4,1.0,5.0,0.0,81.4002,523.5310876965523,81.748,5,81.4002
KD,0.4,1.0,0.5,0.0,79.4038,313.38994202017784,79.666,9,79.4038
KD,0.4,1.0,1.0,0.0,79.4826,318.7266736239195,79.86,7,79.4826
KD,0.4,1.0,10.0,0.0,81.622,431.157148963213,82.0,5,81.622
KD,0.4,1.0,20.0,0.0,81.75580000000001,399.2791558265686,82.406,5,81.75580000000001
KD,0.4,1.0,5.0,0.0,80.46939999999998,488.91109550893304,80.986,6,80.46939999999998
CE,0.6,1.0,0.5,0.0,79.7936,281.61765715777875,80.274,3,79.7936
CE,0.6,1.0,1.0,0.0,80.0266,322.065554651618,80.334,3,80.0266
CE,0.6,1.0,10.0,0.0,83.03099999999999,430.1059472471476,83.402,1,83.03099999999999
CE,0.6,1.0,20.0,0.0,83.5584,396.96006309390066,83.952,4,83.5584
CE,0.6,1.0,5.0,0.0,81.5732,520.168588128686,81.772,6,81.5732
KD,0.6,1.0,0.5,0.0,79.083,310.72003496289256,79.51,4,79.083
KD,0.6,1.0,1.0,0.0,79.06299999999999,313.60668112039565,79.56,4,79.06299999999999
KD,0.6,1.0,10.0,0.0,81.9952,437.3114153623581,82.396,1,81.9952
KD,0.6,1.0,20.0,0.0,82.2742,407.7172839909792,82.776,2,82.2742
KD,0.6,1.0,5.0,0.0,80.7888,511.43510642051695,81.274,7,80.7888
