distil_fn,lambda,temperature_t,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0,0.5,319.6702932,4043.489268,1523.863522,80.436,56.14904762,49.179122,3,3,2,80.0526,55.5602381,48.37092104
KD,0,0.5,320.6103042,4055.890657,1534.48655,80.512,56.15190476,48.78002974,5,5,0,79.959,55.38895238,48.25526254
CE,0,1,321.4306604,4073.813899,1527.573275,80.216,55.80142857,48.71429689,2,7,7,80.0018,55.28404762,48.1270835
KD,0,1,321.8486284,4112.047644,1545.420912,80.39,55.98619048,48.65795446,1,1,1,80.0298,55.38528571,48.3191173
CE,0,5,323.0976854,4083.70364,1532.317396,80.266,56.1552381,48.68612567,5,9,9,80.0196,55.49633333,48.20956256
KD,0,5,319.4152026,4072.727004,1534.266726,80.364,55.94666667,48.91932076,4,6,1,80.0746,55.33319048,48.34259332
CE,0,10,319.8982922,4018.15124,1514.861692,80.216,56.11571429,48.84419751,1,1,0,79.9642,55.39852381,48.2566711
KD,0,10,322.6779058,4101.485432,1540.444817,80.624,55.87809524,48.8833242,4,4,4,80.0028,55.339,48.22756084
CE,0,20,319.6465931,4078.360319,1530.967826,80.464,55.82,48.92401596,5,2,0,80.0974,55.44861905,48.27138274
KD,0,20,323.4840427,4028.112161,1524.767986,80.12,56.08666667,49.2276391,6,9,2,79.8864,55.53838095,48.48986619
CE,0.2,0.5,312.7445768,3957.941929,1493.394987,80.262,55.60857143,48.6751702,2,7,2,80.0148,55.17333333,48.21488379
KD,0.2,0.5,317.7066754,3954.807112,1483.845205,80.132,55.82761905,48.86767353,1,1,6,79.8008,55.34390476,48.35229674
CE,0.2,1,320.2875826,4082.606623,1530.402687,80.424,55.87333333,49.36536505,2,3,3,80.0338,55.24233333,48.46044291
KD,0.2,1,319.0895654,4048.895793,1520.60756,80.322,55.5352381,48.5249237,2,0,2,79.9358,55.23580952,48.20408483
CE,0.2,5,526.3478923,7045.338842,2576.811047,81.786,56.50380952,49.46396432,8,7,1,81.4252,56.15804762,48.98834025
KD,0.2,5,452.5476934,6080.389052,2277.778932,80.594,55.7647619,48.40910869,6,7,7,80.17,55.2392381,47.98466234
CE,0.2,10,445.8180055,6282.22797,2289.751956,82.836,57.45190476,50.32944675,1,0,0,82.6574,56.98047619,49.65662415
KD,0.2,10,421.9182548,5662.578733,2089.550457,81.448,56.32619048,49.22450896,4,4,4,81.1276,55.8217619,48.85499648
CE,0.2,20,400.0641197,5746.21965,2109.761731,83.514,57.96095238,50.67845684,4,5,7,83.3026,57.50452381,50.18890367
KD,0.2,20,391.178043,5273.400119,1952.947335,81.466,56.70380952,49.70185461,9,0,0,81.117,55.82728571,48.79677596
CE,0.4,0.5,299.3986557,3754.217577,1413.760498,80.238,55.75190476,48.88019407,5,8,8,79.9492,55.23390476,48.13240473
KD,0.4,0.5,316.5481748,3939.124273,1474.120816,79.788,55.32142857,48.60943736,2,9,0,79.5244,54.90614286,47.9954613
CE,0.4,1,324.9281803,4116.170623,1528.702913,80.326,55.53619048,49.09930354,9,1,6,79.916,55.133,48.29689334
KD,0.4,1,316.9040289,3927.458115,1471.599865,80.22,55.33952381,48.52961891,4,4,4,79.521,54.78642857,48.07089757
CE,0.4,5,530.1316562,7125.450613,2579.57384,81.82,56.64142857,49.58760466,7,7,5,81.6208,56.08757143,49.01212927
KD,0.4,5,510.6063662,6792.35708,2490.765318,80.874,55.81571429,48.91306049,7,2,4,80.3972,55.37866667,48.48078879
CE,0.4,10,438.8859165,6211.867488,2282.509035,83.352,57.47,50.42022067,5,1,8,83.0458,57.17333333,49.75929259
KD,0.4,10,438.5793443,6059.022486,2225.48074,82.088,56.92952381,49.70341967,2,2,2,81.7242,56.17433333,48.93716253
CE,0.4,20,407.0854331,5906.331634,2158.329363,83.72,57.91619048,50.57672744,3,6,6,83.5392,57.52914286,50.23695125
KD,0.4,20,406.6643799,5555.88375,2045.723716,82.052,56.89380952,49.65490257,3,0,4,81.8288,56.43209524,49.3109007
CE,0.6,0.5,283.3719701,3457.334497,1302.051207,80.008,55.87809524,48.79568041,8,1,5,79.7452,55.20409524,48.0579075
KD,0.6,0.5,306.931752,3666.322223,1376.123903,79.462,55.08904762,48.77063933,2,9,9,78.9882,54.55785714,47.74661554
CE,0.6,1,320.4988036,4062.694819,1540.931006,80.278,56.0452381,48.4138039,2,0,5,79.9374,55.44104762,48.22364817
KD,0.6,1,313.2683491,3824.221894,1422.901617,79.438,55.47142857,48.61413256,3,2,8,79.255,54.70461905,47.84208467
CE,0.6,5,534.53476,7144.777053,2609.732579,81.916,56.80619048,49.71594021,7,2,1,81.6342,56.16485714,48.98552312
KD,0.6,5,525.8220715,7082.176196,2578.167899,81.106,55.97857143,49.15721105,3,3,6,80.7934,55.32961905,48.42382033
CE,0.6,10,440.3514145,6322.009689,2297.88659,83.35,57.60238095,50.25588857,3,5,5,83.1308,57.06057143,49.70467173
KD,0.6,10,445.4031107,6245.904061,2269.374469,82.45,57.10714286,49.80984428,5,5,3,82.1848,56.494,49.29759762
CE,0.6,20,412.4523974,6056.255609,2198.183679,83.838,58.12285714,50.42804601,5,4,2,83.5758,57.23352381,49.86305658
KD,0.6,20,413.9048655,5802.919246,2099.953903,82.814,57.09285714,50.0508647,6,6,7,82.3492,56.40361905,49.60012521
