distil_fn,lambda,temperature_h,temperature_t,gamma,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0.0,1.0,0.5,0.0,318.44724814891816,4018.302806843817,1512.8126232624054,80.302,55.91285714285714,48.92245089600125,4,2,4,80.00660000000002,55.425,48.33132482979889
CE,0.0,1.0,1.0,0.0,321.6140974611044,4127.884196614474,1535.6334784030914,80.272,55.66809523809524,49.202598012364035,5,1,9,79.95,55.15628571428571,48.41474293763205
CE,0.0,1.0,10.0,0.0,324.0284697711468,4140.774595338106,1559.3097613573075,80.42,56.065238095238094,48.9396666405822,7,0,0,79.9702,55.45890476190476,48.4098912277956
CE,0.0,1.0,20.0,0.0,318.66033433675767,4086.701260090619,1533.7309062600136,80.526,55.86047619047619,49.05235151420299,6,7,6,80.1896,55.44690476190476,48.331481336567805
CE,0.0,1.0,5.0,0.0,321.3001614779234,4121.280127369612,1554.8993932127953,80.32,55.82714285714286,49.03357070193286,5,8,9,80.12359999999998,55.38180952380952,48.392205962907894
KD,0.0,1.0,0.5,0.0,319.9981527119875,4034.46023010537,1509.9537291109561,80.466,56.107619047619046,48.845762579231554,1,1,2,80.06639999999999,55.35738095238095,48.418186086548246
KD,0.0,1.0,1.0,0.0,320.8827815383673,4027.923217101395,1519.87094501853,80.248,56.317142857142855,48.82072149620471,7,0,2,80.0266,55.594142857142856,48.378902887549884
KD,0.0,1.0,10.0,0.0,320.240165156126,4014.9660078272223,1520.7080583155155,80.316,56.09619047619048,48.728382502543234,7,1,7,79.9974,55.481095238095236,48.14304718679084
KD,0.0,1.0,20.0,0.0,321.030016502738,4089.2102288402616,1541.1905944347382,80.398,56.04714285714286,48.809766022380465,4,3,7,80.0956,55.383047619047616,48.07543626261837
KD,0.0,1.0,5.0,0.0,322.35218039005997,4122.103712685406,1540.637471318245,80.448,55.889047619047616,49.00852961890602,4,5,5,80.0116,55.3322380952381,48.35417481806088
CE,0.2,1.0,0.5,0.0,311.70129809081556,3947.208769325167,1494.7103529274464,80.43,55.988571428571426,48.826981766961424,7,7,9,80.08879999999999,55.39190476190477,48.31191799045309
CE,0.2,1.0,1.0,0.0,322.3386281013489,4094.805117159337,1532.759366953373,80.344,56.01571428571429,48.83324203771813,9,7,7,79.99179999999998,55.33533333333334,48.21222317865248
CE,0.2,1.0,10.0,0.0,433.1164043277502,6040.8135175868865,2177.646831214428,82.98,57.47952380952381,50.57985757884028,4,1,1,82.63239999999999,56.81847619047619,49.630017998278426
CE,0.2,1.0,20.0,0.0,390.1682045549154,5679.701047577709,2054.5578922390937,83.464,57.425714285714285,50.42335080992253,9,2,4,83.19840000000002,57.04471428571429,49.862430550121296
CE,0.2,1.0,5.0,0.0,511.6145123720169,6855.2593567542735,2468.4969315886497,81.674,56.42476190476191,49.3935362704437,7,7,2,81.36960000000002,55.92071428571428,48.844041004773445
KD,0.2,1.0,0.5,0.0,318.8070921033621,3982.534057340026,1497.520064806938,80.26,55.782380952380954,48.99913921277095,6,3,3,79.772,55.260333333333335,48.27529540652633
