distil_fn,lambda,temperature_h,temperature_t,gamma,val_acc,val_loss,max acc,best_iter,val_acc
CE,0.2,0.5,1.0,1.0,88.941,246.75482302680612,89.116,1,88.941
CE,0.2,1.0,1.0,1.0,88.8028,249.13085632175208,89.104,6,88.8028
CE,0.2,10.0,1.0,1.0,88.8278,246.46495070569216,89.31,0,88.8278
CE,0.2,20.0,1.0,1.0,88.92679999999999,245.48868699744344,89.216,6,88.92679999999999
CE,0.2,5.0,1.0,1.0,88.93379999999999,245.85428989976646,89.202,7,88.93379999999999
KD,0.2,0.5,1.0,1.0,88.8806,247.134334602952,89.072,3,88.8806
KD,0.2,10,1,1.0,88.9734,245.5520061582327,89.178,7,88.9734
KD,0.2,1,1,1.0,88.87480000000001,248.55482090041042,89.09,6,88.87480000000001
KD,0.2,20,1,1.0,88.99839999999999,244.07159824073315,89.34,3,88.99839999999999
KD,0.2,5,1,1.0,88.829,246.3883291788399,89.104,3,88.829
CE,0.4,0.5,1.0,1.0,88.83779999999999,247.32984844371677,89.036,0,88.83779999999999
CE,0.4,1.0,1.0,1.0,88.8776,246.3108861885965,89.086,3,88.8776
CE,0.4,10.0,1.0,1.0,88.8742,248.79686742350458,89.13,4,88.8742
CE,0.4,20.0,1.0,1.0,88.91999999999999,246.74765665903686,89.318,0,88.91999999999999
CE,0.4,5.0,1.0,1.0,88.82520000000001,249.85220258682966,89.058,4,88.82520000000001
KD,0.4,0.5,1.0,1.0,88.9144,246.4056203857064,89.208,3,88.9144
KD,0.4,10,1,1.0,88.8936,248.08570993989707,89.084,6,88.8936
KD,0.4,1,1,1.0,88.92099999999999,245.8299343958497,89.294,4,88.92099999999999
KD,0.4,20,1,1.0,88.96079999999999,245.38832981139421,89.398,3,88.96079999999999
KD,0.4,5,1,1.0,88.9122,246.57034440264107,89.39,5,88.9122
CE,0.6,0.5,1.0,1.0,88.8478,248.03266622126102,89.118,8,88.8478
CE,0.6,1.0,1.0,1.0,88.91279999999999,244.34363850206137,89.086,3,88.91279999999999
CE,0.6,10.0,1.0,1.0,88.86699999999999,247.85216648355126,89.188,8,88.86699999999999
CE,0.6,20.0,1.0,1.0,88.878,247.16594913452863,89.044,5,88.878
CE,0.6,5.0,1.0,1.0,88.8968,245.40683344081043,89.082,6,88.8968
KD,0.6,0.5,1.0,1.0,88.9148,247.06432680264115,89.226,2,88.9148
KD,0.6,10,1,1.0,88.8802,246.89830487146975,89.07,5,88.8802
KD,0.6,1,1,1.0,88.9584,246.529435390234,89.404,9,88.9584
KD,0.6,20,1,1.0,88.7998,248.6326550655067,88.912,1,88.7998
KD,0.6,5,1,1.0,88.83540000000002,248.26462469771505,89.124,0,88.83540000000002
