distil_fn,lambda,temperature_h,temperature_t,gamma,val_acc,val_loss,max acc,best_iter,val_acc
CE,0.0,1.0,0.5,0.0,79.9872,321.559285274148,80.588,0,79.9872
CE,0.0,1.0,1.0,0.0,80.00399999999999,320.1317322641611,80.574,8,80.00399999999999
CE,0.0,1.0,10.0,0.0,80.072,319.87766953110696,80.452,5,80.072
CE,0.0,1.0,20.0,0.0,80.0224,320.71983698010445,80.432,7,80.0224
CE,0.0,1.0,5.0,0.0,79.89520000000002,321.18142809867857,80.294,0,79.89520000000002
KD,0.0,1.0,0.5,0.0,80.03819999999999,318.44148712158204,80.442,2,80.03819999999999
KD,0.0,1.0,1.0,0.0,80.1762,319.7411787837744,80.388,4,80.1762
KD,0.0,1.0,10.0,0.0,80.0132,321.62874663770197,80.394,4,80.0132
KD,0.0,1.0,20.0,0.0,79.9374,321.59704037308694,80.438,5,79.9374
KD,0.0,1.0,5.0,0.0,80.0574,316.8759543478489,80.314,2,80.0574
CE,0.2,1.0,0.5,0.0,79.85900000000001,314.77113666832446,80.14,3,79.85900000000001
CE,0.2,1.0,1.0,0.0,80.06660000000002,259.60190816521646,80.49,6,80.06660000000002
CE,0.2,1.0,10.0,0.0,80.67379999999999,240.1746241658926,81.118,0,80.67379999999999
CE,0.2,1.0,20.0,0.0,80.61919999999999,240.83757146000863,80.9,2,80.61919999999999
CE,0.2,1.0,5.0,0.0,80.53240000000001,241.31685685813426,80.746,8,80.53240000000001
KD,0.2,1.0,0.5,0.0,79.72840000000001,319.62543312609193,80.242,4,79.72840000000001
KD,0.2,1.0,1.0,0.0,79.9016,301.97959204912183,80.316,3,79.9016
KD,0.2,1.0,10.0,0.0,80.01760000000002,257.10015836656095,80.186,1,80.01760000000002
KD,0.2,1.0,20.0,0.0,80.1252,257.5817326694727,80.656,1,80.1252
KD,0.2,1.0,5.0,0.0,79.9496,256.05582195818425,80.35,8,79.9496
CE,0.4,1.0,0.5,0.0,79.85,300.1056645810604,80.272,6,79.85
CE,0.4,1.0,1.0,0.0,79.99879999999999,248.48268447816372,80.278,4,79.99879999999999
CE,0.4,1.0,10.0,0.0,80.54920000000001,246.81282629966736,80.988,1,80.54920000000001
CE,0.4,1.0,20.0,0.0,80.70340000000002,245.20669060647487,81.226,0,80.70340000000002
CE,0.4,1.0,5.0,0.0,80.7798,244.42164226174356,81.248,1,80.7798
KD,0.4,1.0,0.5,0.0,79.697,315.41559130102394,79.998,6,79.697
KD,0.4,1.0,1.0,0.0,79.48960000000001,288.73037905693053,79.874,9,79.48960000000001
KD,0.4,1.0,10.0,0.0,80.0758,247.89291606545447,80.382,1,80.0758
KD,0.4,1.0,20.0,0.0,80.16720000000001,247.5136754244566,80.532,4,80.16720000000001
KD,0.4,1.0,5.0,0.0,79.9506,247.72907981276512,80.298,8,79.9506
KD,0.5,1.0,1.0,0.5,33.018,731.4337162971497,33.018,0,33.018
CE,0.6,1.0,0.5,0.0,79.686,283.4511450380087,79.93,8,79.686
CE,0.6,1.0,1.0,0.0,80.21,243.1798396408558,80.662,5,80.21
CE,0.6,1.0,10.0,0.0,80.4234,255.2806482166052,80.974,5,80.4234
CE,0.6,1.0,20.0,0.0,80.49699999999999,254.0303443223238,80.934,9,80.49699999999999
CE,0.6,1.0,5.0,0.0,80.6216,252.1547011345625,81.016,8,80.6216
KD,0.6,1.0,0.5,0.0,79.08040000000001,304.8460416048765,79.412,2,79.08040000000001
KD,0.6,1.0,1.0,0.0,79.1524,275.4275623589754,79.716,4,79.1524
KD,0.6,1.0,10.0,0.0,80.0188,245.5458004027605,80.318,1,80.0188
KD,0.6,1.0,20.0,0.0,79.7594,249.62064840495586,80.236,4,79.7594
KD,0.6,1.0,5.0,0.0,79.86240000000001,246.91327351927757,80.296,6,79.86240000000001
