distil_fn,lambda,temperature_t,val_loss,max acc,best_iter,val_acc
CE,0,0.5,319.7960533,80.414,3,80.0178
KD,0,0.5,321.6166559,80.464,2,80.059
CE,0,1,322.1935446,80.44,1,79.9734
KD,0,1,323.5796757,80.404,9,79.9118
CE,0,5,321.7690371,80.33,7,79.927
KD,0,5,320.7641186,80.234,1,80.0228
CE,0,10,323.8425914,80.192,6,79.9216
KD,0,10,322.2948334,80.298,2,79.9964
CE,0,20,322.6097077,80.092,6,79.9058
KD,0,20,321.2147977,80.264,6,79.9326
CE,0.2,0.5,312.2031818,80.332,8,80.04
KD,0.2,0.5,319.6039415,80.626,7,79.9136
CE,0.2,1,300.5458729,80.082,2,79.9248
KD,0.2,1,315.3011817,80.048,8,79.764
CE,0.2,5,244.2442733,80.814,1,80.5576
KD,0.2,5,261.8949413,80.262,0,80.022
CE,0.2,10,241.1489806,80.996,4,80.7306
KD,0.2,10,261.1103501,80.412,9,80.1016
CE,0.2,20,241.4127103,81.182,4,80.826
KD,0.2,20,260.6489698,80.68,8,80.2294
CE,0.4,0.5,299.2462928,80.126,8,79.8296
KD,0.4,0.5,318.5903057,79.65,0,79.4048
CE,0.4,1,285.1642895,80.154,1,79.9356
KD,0.4,1,310.2888522,80.012,7,79.59
CE,0.4,5,242.3344556,80.858,9,80.6938
KD,0.4,5,254.3619709,80.426,6,79.9564
CE,0.4,10,241.6669871,81.24,3,80.8872
KD,0.4,10,253.6939829,80.456,3,80.0308
CE,0.4,20,242.165397,81.104,6,80.757
KD,0.4,20,253.3367108,80.332,8,80.1514
CE,0.6,0.5,282.7496086,80.088,2,79.7474
KD,0.6,0.5,308.0983872,79.384,4,78.939
CE,0.6,1,272.5884249,80.454,0,80.1638
KD,0.6,1,302.933531,79.636,2,79.197
CE,0.6,5,241.8656345,80.976,6,80.8212
KD,0.6,5,251.7450882,80.298,9,79.9116
CE,0.6,10,244.1312939,81.078,8,80.7576
KD,0.6,10,252.2367176,80.126,4,79.8606
CE,0.6,20,244.0150099,81.452,1,80.8214
KD,0.6,20,251.3912038,80.192,6,79.912
