distil_fn,lambda,temperature_h,temperature_t,gamma,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0.0,1.0,0.5,0.0,321.559285274148,4093.3760741896926,1540.819793522358,80.588,55.815714285714286,49.036700837311216,0,7,3,79.9872,55.46999999999999,48.24446357304953
CE,0.0,1.0,1.0,0.0,320.1317322641611,4024.9607359424235,1524.4645837724208,80.574,56.09619047619048,48.589091478206434,8,8,8,80.00399999999999,55.450095238095244,48.07653181000079
CE,0.0,1.0,10.0,0.0,319.87766953110696,4070.4292265586555,1535.2312778711319,80.452,55.98428571428571,48.477971672274826,5,3,0,80.07199999999999,55.4777142857143,48.233821112763124
CE,0.0,1.0,20.0,0.0,320.71983698010445,4039.955654749647,1521.0859461843968,80.432,56.01857142857143,48.93027623444714,7,5,6,80.0224,55.62495238095238,48.48798810548556
CE,0.0,1.0,5.0,0.0,321.18142809867857,4097.704503412545,1542.8308899104595,80.294,55.686190476190475,48.55935519211206,0,0,3,79.8952,55.18476190476191,48.10501604194381
KD,0.0,1.0,0.5,0.0,318.44148712158204,4066.690012755245,1521.6549527168274,80.442,56.16285714285714,48.67673526880038,2,2,2,80.03819999999999,55.54114285714286,48.43321073636435
KD,0.0,1.0,1.0,0.0,319.7411787837744,4127.527368535846,1543.2017597198487,80.388,55.95619047619048,48.89740981297441,4,8,3,80.17620000000001,55.32747619047619,48.464355583378975
KD,0.0,1.0,10.0,0.0,321.62874663770197,4098.5840625211595,1537.144799900055,80.394,55.81285714285714,49.021050160419435,4,0,2,80.01320000000001,55.37542857142857,48.41834259331716
KD,0.0,1.0,20.0,0.0,321.59704037308694,4082.6112725816665,1536.6055944323539,80.438,56.076190476190476,48.745598247124185,5,1,9,79.9374,55.39790476190476,48.34791454730417
KD,0.0,1.0,5.0,0.0,316.8759543478489,4004.62316429615,1509.071949648857,80.314,56.24857142857143,48.86923859456922,2,9,9,80.0574,55.5077619047619,48.33758510055559
CE,0.2,1.0,0.5,0.0,314.77113666832446,3953.1477508947255,1486.2936100900174,80.14,55.74857142857143,48.75811878863761,3,1,4,79.859,55.333047619047626,48.2300649503091
CE,0.2,1.0,1.0,0.0,259.60190816521646,2972.5895940847695,1082.083438116312,80.49,55.86190476190476,48.84732764692073,6,0,0,80.06660000000001,55.39890476190476,48.15165505908131
CE,0.2,1.0,10.0,0.0,240.1746241658926,2441.91602460891,877.5201480567455,81.118,56.12952380952381,48.99757414508178,0,1,3,80.6738,55.65942857142858,48.3094138821504
CE,0.2,1.0,20.0,0.0,240.83757146000863,2461.2475709564983,886.0545171082019,80.9,56.06047619047619,48.678300336489556,2,6,8,80.6192,55.60652380952381,48.205493387589016
CE,0.2,1.0,5.0,0.0,241.31685685813426,2470.593327212334,874.6521607041359,80.746,55.72714285714286,48.515533296815086,8,9,2,80.5324,55.237428571428566,48.12504890836529
KD,0.2,1.0,0.5,0.0,319.62543312609193,3991.2213083706797,1503.939140790701,80.242,55.635238095238094,48.535879176774394,4,0,0,79.72840000000001,55.18842857142856,48.15854135691369
KD,0.2,1.0,1.0,0.0,301.97959204912183,3686.123892933875,1378.6312817692756,80.316,55.73428571428571,48.85828312074497,3,1,8,79.9016,55.23242857142857,48.26653102746694
KD,0.2,1.0,10.0,0.0,257.10015836656095,2887.3138327509164,1041.5199618697166,80.186,55.626666666666665,48.97722826512247,1,9,2,80.0176,55.07757142857143,48.19782455591205
KD,0.2,1.0,20.0,0.0,257.5817326694727,2907.784601224959,1055.3546144008637,80.656,55.79238095238095,48.85045778229908,1,1,7,80.1252,55.242761904761906,48.13522184834494
KD,0.2,1.0,5.0,0.0,256.05582195818425,2862.0504836268724,1038.1384265899658,80.35,55.77952380952381,48.60474215509821,8,7,5,79.9496,55.36557142857142,48.10626809609516
CE,0.4,1.0,0.5,0.0,300.1056645810604,3695.316232343763,1396.2609375536442,80.272,55.66142857142857,49.055481649581345,6,5,3,79.85,55.113476190476185,48.350731669144686
CE,0.4,1.0,1.0,0.0,248.48268447816372,2708.9933087155223,979.9286363899707,80.278,55.28285714285714,48.285468346505986,4,4,3,79.9988,55.02904761904762,47.79873229517177
CE,0.4,1.0,10.0,0.0,246.81282629966736,2353.124719756842,843.8249740302563,80.988,56.343809523809526,48.95218718209563,1,0,3,80.54920000000001,55.74961904761905,48.26966116284529
CE,0.4,1.0,20.0,0.0,245.20669060647487,2365.4700280115007,845.8480159163475,81.226,56.21857142857143,49.149385710931995,0,9,6,80.7034,55.317047619047614,48.012677048282335
CE,0.4,1.0,5.0,0.0,244.42164226174356,2372.8360521286727,841.0340877056121,81.248,55.941428571428574,48.7862900070428,1,2,1,80.7798,55.282285714285706,48.286407387119496
KD,0.4,1.0,0.5,0.0,315.41559130102394,3906.0930667765438,1457.068209695816,79.998,55.853809523809524,48.70490648720557,6,3,2,79.697,54.85261904761906,48.02425854918225
KD,0.4,1.0,1.0,0.0,288.73037905693053,3452.4934965878724,1261.6075676143168,79.874,55.02619047619048,48.4169340323969,9,0,8,79.48960000000001,54.486619047619044,47.80749667423116
KD,0.4,1.0,10.0,0.0,247.89291606545447,2676.2737712673843,957.3622334897518,80.382,55.885238095238094,48.974098129744114,1,9,6,80.07580000000002,55.160142857142866,48.01643321073636
KD,0.4,1.0,20.0,0.0,247.5136754244566,2679.7833530090747,964.8344772696495,80.532,55.457142857142856,48.85828312074497,4,9,4,80.16720000000001,55.005714285714284,48.140386571719226
KD,0.4,1.0,5.0,0.0,247.72907981276512,2649.0024812176825,944.3910376548768,80.298,55.775238095238095,48.59065654589561,8,8,5,79.9506,55.02961904761905,48.072932154315666
CE,0.6,1.0,0.5,0.0,283.4511450380087,3412.764456499368,1274.99919244051,79.93,55.85857142857143,48.69238594569215,8,4,3,79.686,55.217999999999996,48.34055872916504
CE,0.6,1.0,1.0,0.0,243.1798396408558,2580.245959033072,921.7869896650315,80.662,55.48285714285714,48.31050942953283,5,5,9,80.21000000000001,54.97461904761904,47.76602238046795
CE,0.6,1.0,10.0,0.0,255.2806482166052,2332.1471626669168,831.5674111366272,80.974,56.144285714285715,48.46388606307223,5,6,8,80.4234,55.54042857142857,47.978245559120424
CE,0.6,1.0,20.0,0.0,254.0303443223238,2342.6572949007154,837.2095855295659,80.934,56.00904761904762,48.3261601064246,9,4,3,80.497,55.52380952380952,47.787620314578604
CE,0.6,1.0,5.0,0.0,252.1547011345625,2314.712768676877,824.3872112333775,81.016,56.575714285714284,48.97096799436576,8,2,8,80.6216,55.772190476190474,48.273104311761486
KD,0.6,1.0,0.5,0.0,304.8460416048765,3682.0422972977162,1381.5117529332638,79.412,55.158095238095235,48.37467720478911,2,6,3,79.08040000000001,54.51676190476191,47.48665779794977
