distil_fn,lambda,temperature_t,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0,0.5,321.5592853,4093.376074,1540.819794,80.588,55.81571429,49.03670084,0,7,3,79.9872,55.47,48.24446357
KD,0,0.5,318.4414871,4066.690013,1521.654953,80.442,56.16285714,48.67673527,2,2,2,80.0382,55.54114286,48.43321074
CE,0,1,320.1317323,4024.960736,1524.464584,80.574,56.09619048,48.58909148,8,8,8,80.004,55.45009524,48.07653181
KD,0,1,319.7411788,4127.527369,1543.20176,80.388,55.95619048,48.89740981,4,8,3,80.1762,55.32747619,48.46435558
CE,0,5,321.1814281,4097.704503,1542.83089,80.294,55.68619048,48.55935519,0,0,3,79.8952,55.1847619,48.10501604
KD,0,5,316.8759543,4004.623164,1509.07195,80.314,56.24857143,48.86923859,2,9,9,80.0574,55.5077619,48.3375851
CE,0,10,319.8776695,4070.429227,1535.231278,80.452,55.98428571,48.47797167,5,3,0,80.072,55.47771429,48.23382111
KD,0,10,321.6287466,4098.584063,1537.1448,80.394,55.81285714,49.02105016,4,0,2,80.0132,55.37542857,48.41834259
CE,0,20,320.719837,4039.955655,1521.085946,80.432,56.01857143,48.93027623,7,5,6,80.0224,55.62495238,48.48798811
KD,0,20,321.5970404,4082.611273,1536.605594,80.438,56.07619048,48.74559825,5,1,9,79.9374,55.39790476,48.34791455
CE,0.2,0.5,314.7711367,3953.147751,1486.29361,80.14,55.74857143,48.75811879,3,1,4,79.859,55.33304762,48.23006495
KD,0.2,0.5,319.6254331,3991.221308,1503.939141,80.242,55.6352381,48.53587918,4,0,0,79.7284,55.18842857,48.15854136
CE,0.2,1,259.6019082,2972.589594,1082.083438,80.49,55.86190476,48.84732765,6,0,0,80.0666,55.39890476,48.15165506
KD,0.2,1,301.979592,3686.123893,1378.631282,80.316,55.73428571,48.85828312,3,1,8,79.9016,55.23242857,48.26653103
CE,0.2,5,241.3168569,2470.593327,874.6521607,80.746,55.72714286,48.5155333,8,9,2,80.5324,55.23742857,48.12504891
KD,0.2,5,256.055822,2862.050484,1038.138427,80.35,55.77952381,48.60474216,8,7,5,79.9496,55.36557143,48.1062681
CE,0.2,10,240.1746242,2441.916025,877.5201481,81.118,56.12952381,48.99757415,0,1,3,80.6738,55.65942857,48.30941388
KD,0.2,10,257.1001584,2887.313833,1041.519962,80.186,55.62666667,48.97722827,1,9,2,80.0176,55.07757143,48.19782456
CE,0.2,20,240.8375715,2461.247571,886.0545171,80.9,56.06047619,48.67830034,2,6,8,80.6192,55.60652381,48.20549339
KD,0.2,20,257.5817327,2907.784601,1055.354614,80.656,55.79238095,48.85045778,1,1,7,80.1252,55.2427619,48.13522185
CE,0.4,0.5,300.1056646,3695.316232,1396.260938,80.272,55.66142857,49.05548165,6,5,3,79.85,55.11347619,48.35073167
KD,0.4,0.5,315.4155913,3906.093067,1457.06821,79.998,55.85380952,48.70490649,6,3,2,79.697,54.85261905,48.02425855
CE,0.4,1,248.4826845,2708.993309,979.9286364,80.278,55.28285714,48.28546835,4,4,3,79.9988,55.02904762,47.7987323
KD,0.4,1,288.7303791,3452.493497,1261.607568,79.874,55.02619048,48.41693403,9,0,8,79.4896,54.48661905,47.80749667
CE,0.4,5,244.4216423,2372.836052,841.0340877,81.248,55.94142857,48.78629001,1,2,1,80.7798,55.28228571,48.28640739
KD,0.4,5,247.7290798,2649.002481,944.3910377,80.298,55.7752381,48.59065655,8,8,5,79.9506,55.02961905,48.07293215
CE,0.4,10,246.8128263,2353.12472,843.824974,80.988,56.34380952,48.95218718,1,0,3,80.5492,55.74961905,48.26966116
KD,0.4,10,247.8929161,2676.273771,957.3622335,80.382,55.8852381,48.97409813,1,9,6,80.0758,55.16014286,48.01643321
CE,0.4,20,245.2066906,2365.470028,845.8480159,81.226,56.21857143,49.14938571,0,9,6,80.7034,55.31704762,48.01267705
KD,0.4,20,247.5136754,2679.783353,964.8344773,80.532,55.45714286,48.85828312,4,9,4,80.1672,55.00571429,48.14038657
CE,0.6,0.5,283.451145,3412.764456,1274.999192,79.93,55.85857143,48.69238595,8,4,3,79.686,55.218,48.34055873
KD,0.6,0.5,304.8460416,3682.042297,1381.511753,79.412,55.15809524,48.3746772,2,6,3,79.0804,54.5167619,47.4866578
CE,0.6,1,243.1798396,2580.245959,921.7869897,80.662,55.48285714,48.31050943,5,5,9,80.21,54.97461905,47.76602238
KD,0.6,1,275.4275624,3094.410143,1130.318367,79.716,55.24095238,47.99123562,4,7,5,79.1524,54.67933333,47.63314813
CE,0.6,5,252.1547011,2314.712769,824.3872112,81.016,56.57571429,48.97096799,8,2,8,80.6216,55.77219048,48.27310431
KD,0.6,5,246.9132735,2492.951841,883.8600641,80.296,55.53714286,48.9271461,6,9,8,79.8624,55.06185714,48.07950544
CE,0.6,10,255.2806482,2332.147163,831.5674111,80.974,56.14428571,48.46388606,5,6,8,80.4234,55.54042857,47.97824556
KD,0.6,10,245.5458004,2503.556365,895.4373662,80.318,55.9347619,48.46545113,1,9,7,80.0188,55.20633333,47.95273496
CE,0.6,20,254.0303443,2342.657295,837.2095855,80.934,56.00904762,48.32616011,9,4,3,80.497,55.52380952,47.78762031
KD,0.6,20,249.6206484,2547.981261,903.8376172,80.236,55.2847619,48.60630722,4,1,4,79.7594,54.7367619,47.81986071
