distil_fn,lambda,temperature_h,temperature_t,gamma,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0,1,0.5,0,319.7960533,4016.857698,1510.638821,80.414,55.79380952,48.81446123,3,3,3,80.0178,55.39952381,48.28405979
CE,0,1,1,0,322.1935446,4066.158144,1532.148097,80.44,56.00666667,48.80663589,1,6,2,79.9734,55.51552381,48.42366382
CE,0,1,10,0,323.8425914,4117.479698,1531.32835,80.192,55.44238095,48.84419751,6,7,4,79.9216,55.17866667,48.231317
CE,0,1,20,0,322.6097077,4089.925687,1529.893429,80.092,55.82761905,48.6266531,6,8,3,79.9058,55.24514286,48.12066672
CE,0,1,5,0,321.7690371,4079.909065,1536.095483,80.33,56.02,48.98192347,7,0,4,79.927,55.36585714,48.17685265
KD,0,1,0.5,0,321.6166559,4094.41748,1540.772171,80.464,56.06095238,49.03983097,2,1,0,80.059,55.4592381,48.46764223
KD,0,1,1,0,323.5796757,4114.777413,1542.26471,80.404,56.01666667,48.56248533,9,7,7,79.9118,55.30342857,48.08060099
KD,0,1,10,0,322.2948334,4076.304314,1539.073501,80.298,55.9847619,48.74090304,2,7,3,79.9964,55.25047619,48.20486736
KD,0,1,20,0,321.2147977,4077.792485,1513.139433,80.264,55.6752381,48.83950231,6,5,5,79.9326,55.19938095,48.30550121
KD,0,1,5,0,320.7641186,4074.356121,1535.492455,80.234,55.7552381,48.77063933,1,7,5,80.0228,55.30509524,48.37373816
CE,0.2,1,0.5,0,312.2031818,3902.855545,1477.303076,80.332,56.08761905,48.68925581,8,3,3,80.04,55.5877619,48.43336724
CE,0.2,1,1,0,300.5458729,3719.231657,1366.190546,80.082,55.34857143,48.4670162,2,7,3,79.9248,54.88642857,48.12051021
CE,0.2,1,10,0,241.1489806,2594.895675,933.8595624,80.996,56.07,49.27146099,4,8,2,80.7306,55.69795238,48.43336724
CE,0.2,1,20,0,241.4127103,2604.657423,941.4415963,81.182,56.15904762,48.80663589,4,7,4,80.826,55.65352381,48.29266766
CE,0.2,1,5,0,244.2442733,2633.641364,938.1361706,80.814,56.11238095,48.91619063,1,9,2,80.5576,55.50804762,48.51897645
KD,0.2,1,0.5,0,319.6039415,4049.362588,1508.559005,80.626,55.88142857,48.84576258,7,8,1,79.9136,55.14061905,48.19688552
KD,0.2,1,1,0,315.3011817,3965.364472,1480.744613,80.048,55.89619048,48.96783786,8,4,6,79.764,55.17119048,48.11424994
KD,0.2,1,10,0,261.1103501,3011.616836,1085.891602,80.412,55.74428571,48.75968386,9,0,0,80.1016,55.30647619,48.27153924
KD,0.2,1,20,0,260.6489698,3018.452862,1092.345022,80.68,55.71809524,48.6266531,8,6,9,80.2294,55.35990476,48.18233039
KD,0.2,1,5,0,261.8949413,3018.326815,1087.640482,80.262,55.44333333,48.49049221,0,7,5,80.022,54.97566667,47.81641756
CE,0.4,1,0.5,0,299.2462928,3682.755841,1391.853106,80.126,55.93142857,48.86767353,8,2,3,79.8296,55.39652381,48.3191173
CE,0.4,1,1,0,285.1642895,3440.578335,1267.389077,80.154,55.71571429,48.58439628,1,3,7,79.9356,55.21309524,48.16151499
