distil_fn,lambda,temperature_t,val_loss,val_loss_cin,val_loss_im,max_acc,max_acc_cin,max_acc_im,best_iter,best_iter_cin,best_iter_im,val_acc,val_acc_cin,val_acc_im
CE,0,0.5,325.5160777,4131.251795,1547.652017,80.16,55.65714286,48.6266531,8,0,6,79.9332,55.26371429,48.33805462
KD,0,0.5,320.1910796,4072.990909,1535.476784,80.464,56.07809524,49.03670084,8,7,8,80.0628,55.47395238,48.27466938
CE,0,1,320.9744711,4044.922787,1533.046488,80.168,55.69238095,48.96470772,4,3,7,79.8882,55.33228571,48.3375851
KD,0,1,324.207442,4109.785422,1549.32767,80.034,55.6952381,49.15877612,0,1,0,79.7912,55.10490476,48.057751
CE,0,5,322.8137095,4132.13686,1549.392304,80.544,55.78571429,48.48110181,4,6,3,79.93,55.33219048,48.25228891
KD,0,5,325.4025546,4148.424965,1553.224164,80.272,55.79238095,48.74716331,2,4,7,79.9176,55.40128571,48.1779482
CE,0,10,325.1334398,4168.806675,1562.853976,80.316,55.9047619,48.58439628,8,5,7,79.9108,55.05633333,47.89420142
KD,0,10,318.769554,4067.248556,1531.854823,80.526,55.68714286,48.85202285,5,4,1,80.125,55.38604762,48.22756084
CE,0,20,321.8763134,4072.519127,1533.34484,80.35,55.7547619,49.45926911,8,2,6,79.9782,55.42409524,48.24696768
KD,0,20,320.3015787,4116.138021,1548.523457,80.382,56.04,48.878629,8,7,8,80.0882,55.4102381,48.12911808
CE,0.2,0.5,312.2522579,3955.956021,1476.684186,80.24,55.68571429,48.76124892,6,6,9,79.9948,55.10914286,48.21191017
KD,0.2,0.5,319.258667,4011.987713,1516.358566,80.154,55.68380952,48.77376947,0,2,8,79.8644,55.235,48.12348384
CE,0.2,1,255.3063332,2948.220916,1068.866004,80.648,56.07238095,48.29329368,9,9,0,80.1536,55.11280952,47.85523124
KD,0.2,1,299.7578385,3660.588364,1373.565172,80.364,56.22571429,49.22607403,1,6,6,79.9386,55.29795238,48.23601221
CE,0.2,5,243.3396486,2447.315124,873.7338823,80.674,55.83761905,48.52179357,2,6,5,80.4432,55.2997619,47.93254558
KD,0.2,5,253.9902714,2852.999227,1023.60865,80.354,55.88333333,49.17442679,3,2,3,79.9854,55.19890476,48.23288207
CE,0.2,10,243.4714683,2431.069034,872.8175812,80.892,56.07761905,48.74559825,0,3,8,80.418,55.59542857,48.27138274
KD,0.2,10,256.5783548,2877.464262,1045.98774,80.688,55.76952381,48.48110181,5,0,2,80.0394,55.27538095,48.05806401
CE,0.2,20,241.3959262,2458.164182,885.1712323,81.024,56.03904762,49.13373503,2,8,2,80.6152,55.677,48.23992488
KD,0.2,20,258.3255161,2952.595038,1067.8981,80.422,55.82190476,48.78785507,0,8,5,80.1338,55.23442857,48.18984271
CE,0.4,0.5,295.9923446,3629.285622,1371.3672,80.414,56.05571429,48.91932076,4,3,0,79.8934,55.31642857,48.28280773
KD,0.4,0.5,316.1858425,3895.868228,1452.801316,79.86,55.32857143,48.58439628,7,0,2,79.466,54.88528571,48.0854527
CE,0.4,1,247.5888171,2653.638338,956.5368817,80.21,55.58095238,48.92401596,2,4,8,79.9244,55.07190476,47.94428359
KD,0.4,1,287.2910696,3411.267642,1252.659303,80.038,55.47142857,48.49518742,7,4,4,79.455,54.691,47.79685421
CE,0.4,5,245.7724401,2339.035524,834.7626352,80.844,56.47619048,49.06487206,3,7,2,80.736,55.85647619,48.55747711
KD,0.4,5,246.1539799,2603.21054,933.4024533,80.46,55.69,48.82385163,5,9,2,80.0696,55.416,48.29454574
CE,0.4,10,246.3071472,2358.384611,837.4535981,81.056,55.94904762,48.96157759,5,0,8,80.7108,55.31571429,48.24383755
KD,0.4,10,246.977886,2668.59589,952.6608123,80.436,55.80904762,48.81446123,7,4,4,80.14,54.98657143,48.09437358
CE,0.4,20,245.1117038,2354.438666,842.5322117,81.32,56.02428571,48.53118397,8,2,8,80.7814,55.68795238,48.22051804
KD,0.4,20,247.8006452,2711.701851,968.6647583,80.552,55.56857143,48.57970107,1,3,9,80.1646,54.7937619,48.01330308
CE,0.6,0.5,281.2302109,3388.00544,1268.286128,80.026,55.85857143,48.97879333,8,8,0,79.7228,55.28114286,48.39658815
KD,0.6,0.5,306.2540527,3701.767339,1391.161028,79.326,55.05714286,47.92863291,1,8,5,79.0554,54.24142857,47.21950074
CE,0.6,1,244.6524595,2527.317941,899.8948485,80.228,55.70333333,48.90523515,2,1,7,80.075,55.12652381,48.06839346
KD,0.6,1,272.6892539,3043.206232,1112.778321,79.564,55.69333333,48.98661867,1,7,1,79.201,54.93028571,47.94584866
CE,0.6,5,253.9460737,2323.277081,826.29472,81,56.1852381,48.90523515,3,5,3,80.5588,55.64185714,48.19359887
KD,0.6,5,248.2437051,2474.08298,886.5523514,80.384,55.65142857,48.63134831,8,7,2,79.7614,55.186,47.9028093
CE,0.6,10,256.0811015,2332.440035,829.649275,80.794,56.01904762,49.14469051,3,3,0,80.4918,55.4852381,48.05728148
KD,0.6,10,247.5615436,2486.543385,892.3519591,80.072,55.7452381,48.17591361,8,2,9,79.7756,55.17728571,47.92878942
CE,0.6,20,254.3442721,2345.214977,830.9709933,81.042,56.5847619,48.84576258,5,1,2,80.6254,55.30519048,48.03490101
KD,0.6,20,246.4534505,2527.866038,902.6511841,80.282,55.38428571,48.30111902,7,2,1,79.9436,54.70771429,47.59840363
