distil_fn,lambda,temperature_h,temperature_t,gamma,val_acc,val_loss,max acc,best_iter,val_acc
CE,0.2,0.5,1.0,1.0,89.3486,155.34960461556912,89.492,7,89.3486
CE,0.2,1.0,1.0,1.0,89.3904,181.80443927049637,89.628,1,89.3904
CE,0.2,10.0,1.0,1.0,89.2902,170.9982032611966,89.488,7,89.2902
CE,0.2,20.0,1.0,1.0,89.42339999999999,168.2404545739293,89.604,2,89.42339999999999
CE,0.2,5.0,1.0,1.0,89.3138,174.06206298917533,89.474,1,89.3138
KD,0.2,0.5,1.0,1.0,89.2166,150.76258338615298,89.44,4,89.2166
KD,0.2,10,1,1.0,89.3358,153.10868453010917,89.542,7,89.3358
KD,0.2,1,1,1.0,89.20419999999999,149.0063651829958,89.432,1,89.20419999999999
KD,0.2,20,1,1.0,89.22279999999999,154.41374891400338,89.428,7,89.22279999999999
KD,0.2,5,1,1.0,89.30839999999999,153.0455701187253,89.684,7,89.30839999999999
CE,0.4,0.5,1.0,1.0,89.239,191.18799197226764,89.502,0,89.239
CE,0.4,1.0,1.0,1.0,89.0916,244.2374282181263,89.4,9,89.0916
CE,0.4,10.0,1.0,1.0,89.1336,201.80021109580994,89.47,2,89.1336
CE,0.4,20.0,1.0,1.0,89.2846,197.32384659647943,89.512,8,89.2846
CE,0.4,5.0,1.0,1.0,89.05380000000001,210.22314836978913,89.334,0,89.05380000000001
KD,0.4,0.5,1.0,1.0,89.31620000000001,146.6794589340687,89.55,6,89.31620000000001
KD,0.4,10,1,1.0,89.2298,156.8559139803052,89.646,9,89.2298
KD,0.4,1,1,1.0,89.1644,153.523515060544,89.318,4,89.1644
KD,0.4,20,1,1.0,89.2274,157.0601577922702,89.598,9,89.2274
KD,0.4,5,1,1.0,89.2738,156.47472891956568,89.492,5,89.2738
CE,0.5,1.0,1.0,1.0,35.532,682.6127445697784,35.532,0,35.532
CE,0.6,0.5,1.0,1.0,88.78299999999999,286.4641660451889,89.142,2,88.78299999999999
CE,0.6,1.0,1.0,1.0,88.79400000000001,328.8628255903721,89.078,4,88.79400000000001
CE,0.6,10.0,1.0,1.0,88.55600000000001,257.6462138772011,88.926,9,88.55600000000001
CE,0.6,20.0,1.0,1.0,88.6738,250.51991790235041,89.004,5,88.6738
CE,0.6,5.0,1.0,1.0,88.70599999999999,267.2255589991808,89.14,4,88.70599999999999
KD,0.6,0.5,1.0,1.0,88.8052,154.69361939281225,89.038,4,88.8052
KD,0.6,10,1,1.0,88.751,168.9858643040061,89.294,5,88.751
KD,0.6,1,1,1.0,88.8176,170.55788616389037,89.036,1,88.8176
KD,0.6,20,1,1.0,88.7646,168.5713964909315,89.114,6,88.7646
KD,0.6,5,1,1.0,88.8,170.50025870352982,89.376,2,88.8
