distil_fn,lambda,temperature_h,max acc,best_iter,val_acc,val_loss
CE,0.2,0.5,89.492,7,89.3486,155.3496046
KD,0.2,0.5,89.44,4,89.2166,150.7625834
CE,0.2,1,89.628,1,89.3904,181.8044393
KD,0.2,1,89.432,1,89.2042,149.0063652
CE,0.2,5,89.474,1,89.3138,174.062063
KD,0.2,5,89.684,7,89.3084,153.0455701
CE,0.2,10,89.488,7,89.2902,170.9982033
KD,0.2,10,89.542,7,89.3358,153.1086845
CE,0.2,20,89.604,2,89.4234,168.2404546
KD,0.2,20,89.428,7,89.2228,154.4137489
CE,0.4,0.5,89.502,0,89.239,191.187992
KD,0.4,0.5,89.55,6,89.3162,146.6794589
CE,0.4,1,89.4,9,89.0916,244.2374282
KD,0.4,1,89.318,4,89.1644,153.5235151
CE,0.4,5,89.334,0,89.0538,210.2231484
KD,0.4,5,89.492,5,89.2738,156.4747289
CE,0.4,10,89.47,2,89.1336,201.8002111
KD,0.4,10,89.646,9,89.2298,156.855914
CE,0.4,20,89.512,8,89.2846,197.3238466
KD,0.4,20,89.598,9,89.2274,157.0601578
CE,0.6,0.5,89.142,2,88.783,286.464166
KD,0.6,0.5,89.038,4,88.8052,154.6936194
CE,0.6,1,89.078,4,88.794,328.8628256
KD,0.6,1,89.036,1,88.8176,170.5578862
CE,0.6,5,89.14,4,88.706,267.225559
KD,0.6,5,89.376,2,88.8,170.5002587
CE,0.6,10,88.926,9,88.556,257.6462139
KD,0.6,10,89.294,5,88.751,168.9858643
CE,0.6,20,89.004,5,88.6738,250.5199179
KD,0.6,20,89.114,6,88.7646,168.5713965
